,program_id,cohort_id,lesson,referred_to_lesson_count
9,1.0,1.0,javascript-i,1039
20,1.0,2.0,content,57
25,1.0,4.0,prework,2
30,1.0,6.0,javascript-ii,11
35,1.0,7.0,content,245
55,1.0,8.0,java-iii,155
70,1.0,11.0,content,79
77,1.0,12.0,content,258
84,1.0,13.0,content,2254
102,1.0,14.0,content,1128
122,1.0,17.0,content,1359
141,1.0,19.0,content,650
155,2.0,15.0,content,241
185,2.0,16.0,spring,110
198,2.0,18.0,javascript-i,187
230,2.0,21.0,spring,1408
259,2.0,22.0,mysql,3787
279,2.0,23.0,javascript-i,3747
305,2.0,24.0,javascript-i,4117
326,2.0,25.0,javascript-i,4074
346,2.0,26.0,javascript-i,3567
370,2.0,27.0,javascript-i,2797
438,2.0,28.0,mysql,4780
471,2.0,29.0,javascript-i,4963
496,2.0,31.0,javascript-i,3561
522,2.0,32.0,javascript-i,4745
550,2.0,33.0,javascript-i,5991
574,2.0,51.0,javascript-i,4142
593,2.0,52.0,html-css,3675
616,2.0,53.0,javascript-i,4382
634,2.0,56.0,javascript-i,3767
656,2.0,57.0,javascript-i,4092
678,2.0,58.0,javascript-i,4237
700,2.0,61.0,javascript-i,2530
725,2.0,62.0,javascript-i,4438
749,2.0,132.0,javascript-i,3418
771,2.0,134.0,javascript-i,2968
792,2.0,135.0,javascript-i,4942
812,2.0,138.0,javascript-i,2630
825,2.0,139.0,javascript-i,1195
828,3.0,34.0,1-fundamentals,3124
872,3.0,55.0,3-sql,2499
916,3.0,59.0,classification,5029
940,3.0,133.0,classification,2715
962,3.0,137.0,fundamentals,3448
971,4.0,9.0,content,4
